Mode,Locus,FinalFitness
Asex,auto,0.0592277
Asex,auto,0.105463
Asex,auto,0.836617
Asex,auto,1.7107
Asex,auto,0.00532361
Asex,auto,0.686393
Asex,auto,1.95733
Asex,auto,0.224875
Asex,auto,0.351452
Asex,auto,1.79511
Asex,auto,1.71074
Asex,auto,1.95172
Asex,auto,0.540718
Asex,auto,0.495081
Asex,auto,0.00951239
Asex,auto,1.23229
Asex,auto,0.606763
Asex,auto,0.229505
Asex,auto,1.45435
Asex,auto,1.48721
Asex,auto,0.20596
Asex,auto,0.0720051
Asex,auto,0.224095
Asex,auto,0.108383
Asex,auto,0.951987
Asex,auto,0.236705
Asex,auto,1.82506
Asex,auto,0.13137
Asex,auto,0.827143
Asex,auto,1.11164
Asex,auto,0.0759701
Asex,auto,1.15401
Asex,auto,0.123233
Asex,auto,0.121392
Asex,auto,1.97473
Asex,auto,0.524822
Asex,auto,0.236232
Asex,auto,0.589674
Asex,auto,1.80633
Asex,auto,0.312137
Asex,auto,1.32293
Asex,auto,0.170538
Asex,auto,0.602261
Asex,auto,0.808327
Asex,auto,1.68936
Asex,auto,1.50364
Asex,auto,0.377022
Asex,auto,0.00867613
Asex,auto,1.87201
Asex,auto,1.99662
Asex,auto,1.17555
Asex,auto,1.76438
Asex,auto,0.311918
Asex,auto,0.117059
Asex,auto,1.88999
Asex,auto,0.0229055
Asex,auto,0.0515383
Asex,auto,1.90068
Asex,auto,0.222572
Asex,auto,0.671867
Asex,auto,0.62241
Asex,auto,1.61203
Asex,auto,0.44942
Asex,auto,0.0556972
Asex,auto,0.0474107
Asex,auto,0.376391
Asex,auto,0.0882589
Asex,auto,0.500255
Asex,auto,0.493494
Asex,auto,0.872884
Asex,auto,1.71445
Asex,auto,0.592931
Asex,auto,0.361426
Asex,auto,0.286295
Asex,auto,0.0570078
Asex,auto,1.77497
Asex,auto,1.92857
Asex,auto,0.0985171
Asex,auto,1.50615
Asex,auto,1.00508
Asex,auto,0.0289734
Asex,auto,0.201064
Asex,auto,1.31353
Asex,auto,0.608363
Asex,auto,0.0862248
Asex,auto,0.0128697
Asex,auto,0.0596567
Asex,auto,0.0617498
Asex,auto,1.98315
Asex,auto,0.00904005
Asex,auto,0.457376
Asex,auto,0.267791
Asex,auto,0.619879
Asex,auto,0.0855522
Asex,auto,0.0110858
Asex,auto,0.266473
Asex,auto,0.0271846
Asex,auto,0.127403
Asex,auto,0.0814955
Asex,auto,0.171352
Asex,auto,1.41249
Asex,auto,1.96356
Asex,auto,0.0701348
Asex,auto,0.0109156
Asex,auto,0.0403998
Asex,auto,1.74891
Asex,auto,1.2328
Asex,auto,0.0777921
Asex,auto,0.639276
Asex,auto,0.324582
Asex,auto,0.458179
Asex,auto,0.773994
Asex,auto,0.432042
Asex,auto,1.80842
Asex,auto,1.21159
Asex,auto,1.58319
Asex,auto,0.194186
Asex,auto,1.99512
Asex,auto,0.296787
Asex,auto,0.0490886
Asex,auto,0.0302736
Asex,auto,0.161596
Asex,auto,0.0783555
Asex,auto,1.76336
Asex,auto,0.00271775
Asex,auto,0.150872
Asex,auto,0.0208403
Asex,auto,0.938587
Asex,auto,0.0191055
Asex,auto,0.0206072
Asex,auto,0.108393
Asex,auto,0.822866
Asex,auto,0.197151
Asex,auto,0.909079
Asex,auto,1.86702
Asex,auto,1.99524
Asex,auto,0.0748964
Asex,auto,0.890137
Asex,auto,0.0552576
Asex,auto,1.88106
Asex,auto,1.96776
Asex,auto,0.355617
Asex,auto,0.173366
Asex,auto,0.062351
Asex,auto,0.00754132
Asex,auto,0.0618251
Asex,auto,1.95956
Asex,auto,1.20024
Asex,auto,0.106134
Asex,auto,0.118457
Asex,auto,0.0337465
Asex,auto,1.93729
Asex,auto,1.3127
Asex,auto,1.18701
Asex,auto,0.272421
Asex,auto,1.17545
Asex,auto,0.0646085
Asex,auto,0.00885202
Asex,auto,0.043151
Asex,auto,1.99438
Asex,auto,0.092473
Asex,auto,0.151574
Asex,auto,0.0427611
Asex,auto,0.0861912
Asex,auto,0.0374414
Asex,auto,0.100914
Asex,auto,0.38559
Asex,auto,0.911626
Asex,auto,0.0335069
Asex,auto,0.0863069
Asex,auto,0.879705
Asex,auto,0.245222
Asex,auto,1.42999
Asex,auto,0.335525
Asex,auto,0.321463
Asex,auto,1.95853
Asex,auto,0.129946
Asex,auto,0.278783
Asex,auto,0.164497
Asex,auto,0.00909279
Asex,auto,0.794282
Asex,auto,1.94188
Asex,auto,0.0532406
Asex,auto,1.01314
Asex,auto,1.99167
