Mode,Locus,EndTime
Asex,auto,85895
Asex,auto,63562
Asex,auto,86604
Asex,auto,64323
Asex,auto,96480
Asex,auto,71419
Asex,auto,85403
Asex,auto,44519
Asex,auto,61104
Asex,auto,86953
Asex,auto,49373
Asex,auto,99861
Asex,auto,87530
Asex,auto,88929
Asex,auto,92350
Asex,auto,79025
Asex,auto,65845
Asex,auto,72484
Asex,auto,72971
Asex,auto,55533
Asex,auto,65012
Asex,auto,75439
Asex,auto,72496
Asex,auto,99827
Asex,auto,69665
Asex,auto,69745
Asex,auto,69815
Asex,auto,97579
Asex,auto,55876
Asex,auto,67326
Asex,auto,97235
Asex,auto,96958
Asex,auto,97081
Asex,auto,80264
Asex,auto,84785
Asex,auto,51107
Asex,auto,49473
Asex,auto,63854
Asex,auto,50906
Asex,auto,75992
Asex,auto,54661
Asex,auto,90345
Asex,auto,71189
Asex,auto,61654
Asex,auto,68794
Asex,auto,85263
Asex,auto,94029
Asex,auto,69903
Asex,auto,69465
Asex,auto,89739
Asex,auto,87686
Asex,auto,55377
Asex,auto,65639
Asex,auto,69783
Asex,auto,76863
Asex,auto,89668
Asex,auto,58696
Asex,auto,61637
Asex,auto,61551
Asex,auto,90302
Asex,auto,64391
Asex,auto,90316
Asex,auto,69126
Asex,auto,70359
Asex,auto,60856
Asex,auto,71366
Asex,auto,95826
Asex,auto,65516
Asex,auto,98530
Asex,auto,94924
Asex,auto,91343
Asex,auto,47493
Asex,auto,82347
Asex,auto,68862
Asex,auto,82243
Asex,auto,90553
Asex,auto,85189
Asex,auto,88328
Asex,auto,96309
Asex,auto,86179
Asex,auto,88406
Asex,auto,90376
Asex,auto,93758
Asex,auto,76552
Asex,auto,89422
Asex,auto,89546
Asex,auto,87807
Asex,auto,92979
Asex,auto,94809
Asex,auto,63952
Asex,auto,94757
Asex,auto,58202
Asex,auto,95241
Asex,auto,62179
Asex,auto,69595
Asex,auto,84285
Asex,auto,79698
Asex,auto,61497
Asex,auto,51223
Asex,auto,65873
Asex,auto,85999
Asex,auto,61932
Asex,auto,99973
Asex,auto,47054
Asex,auto,89063
Asex,auto,73101
Asex,auto,84486
Asex,auto,79633
Asex,auto,53261
Asex,auto,63041
Asex,auto,64294
Asex,auto,99777
Asex,auto,69560
Asex,auto,96901
Asex,auto,64474
Asex,auto,94826
Asex,auto,55731
Asex,auto,95806
Asex,auto,74836
Asex,auto,88592
Asex,auto,96957
Asex,auto,47552
Asex,auto,85222
Asex,auto,53915
Asex,auto,70474
Asex,auto,59014
Asex,auto,82026
Asex,auto,80810
Asex,auto,81765
Asex,auto,72884
Asex,auto,53990
Asex,auto,83697
Asex,auto,89621
Asex,auto,69074
Asex,auto,64943
Asex,auto,96411
Asex,auto,97725
Asex,auto,81606
Asex,auto,88310
Asex,auto,95733
Asex,auto,85049
Asex,auto,82444
Asex,auto,77365
Asex,auto,93118
Asex,auto,99801
Asex,auto,84013
Asex,auto,89737
Asex,auto,93506
Asex,auto,72454
Asex,auto,48010
Asex,auto,98439
Asex,auto,96127
Asex,auto,77799
Asex,auto,91014
Asex,auto,68854
Asex,auto,86297
Asex,auto,44486
Asex,auto,78981
Asex,auto,96681
Asex,auto,93130
Asex,auto,77468
Asex,auto,35415
Asex,auto,81743
Asex,auto,47231
Asex,auto,89733
Asex,auto,57191
Asex,auto,70366
Asex,auto,88304
Asex,auto,78089
Asex,auto,61359
Asex,auto,82446
Asex,auto,56155
Asex,auto,86609
Asex,auto,70558
Asex,auto,79413
Asex,auto,80482
Asex,auto,85711
Asex,auto,80206
Asex,auto,98309
Asex,auto,41429
Asex,auto,74701
Asex,auto,81230
Asex,auto,56083
Asex,auto,93245
Asex,auto,80494
Asex,auto,73458
Asex,auto,86827
Asex,auto,74270
Asex,auto,70553
Asex,auto,88300
Asex,auto,88161
Asex,auto,74302
Asex,auto,95168
Asex,auto,70599
Asex,auto,87099
