,Mode,Generations
,Self,6763
,Self,6428
,Self,9889
,Self,3505
,Self,6443
,Self,9897
,Self,11917
,Self,11662
,Self,9153
,Self,15594
,Self,24780
,Self,7316
,Self,15287
,Self,14151
,Self,5739
,Self,9046
,Self,4140
,Self,7079
,Self,14551
,Self,4552
,Self,8218
,Self,8988
,Self,15200
,Self,6703
,Self,9730
,Self,6431
,Self,5223
,Self,15406
,Self,11074
,Self,11366
,Self,11010
,Self,7451
,Self,19322
,Self,9442
,Self,4615
,Self,8341
,Self,22152
,Self,4049
,Self,21633
,Self,16103
,Self,10962
,Self,13594
,Self,14438
,Self,8124
,Self,7620
,Self,11114
,Self,6972
,Self,18209
,Self,7279
,Self,7744
,Self,2827
,Self,9204
,Self,7113
,Self,13746
,Self,12385
,Self,4350
,Self,9182
,Self,19178
,Self,7935
,Self,5220
,Self,9182
,Self,17776
,Self,11783
,Self,14503
,Self,3713
,Self,10972
,Self,7035
,Self,8841
,Self,13999
,Self,5638
,Self,7006
,Self,10166
,Self,13665
,Self,14088
,Self,6074
,Self,11862
,Self,13554
,Self,11685
,Self,14884
,Self,7167
,Self,7170
,Self,4045
,Self,10691
,Self,9240
,Self,7238
,Self,10386
,Self,7933
,Self,20430
,Self,6281
,Self,7414
,Self,2653
,Self,5434
,Self,10104
,Self,12624
,Self,6874
,Self,10708
,Self,9412
,Self,11246
,Self,7017
,Self,3937
,Sex,8697
,Sex,9940
,Sex,13417
,Sex,16330
,Sex,24252
,Sex,18333
,Sex,9081
,Sex,8900
,Sex,16260
,Sex,12292
,Sex,4089
,Sex,8808
,Sex,10200
,Sex,11401
,Sex,10047
,Sex,31535
,Sex,3485
,Sex,7446
,Sex,8962
,Sex,10688
,Sex,9185
,Sex,7986
,Sex,6299
,Sex,12237
,Sex,21799
,Sex,6017
,Sex,16410
,Sex,9103
,Sex,14069
,Sex,20189
,Sex,9544
,Sex,6494
,Sex,8864
,Sex,4855
,Sex,12257
,Sex,8331
,Sex,8223
,Sex,5570
,Sex,12287
,Sex,4639
,Sex,5525
,Sex,11385
,Sex,8820
,Sex,13437
,Sex,9176
,Sex,8588
,Sex,8171
,Sex,5029
,Sex,9290
,Sex,10795
,Sex,7610
,Sex,14615
,Sex,7060
,Sex,10971
,Sex,7750
,Sex,6951
,Sex,9632
,Sex,7446
,Sex,14271
,Sex,8310
,Sex,12104
,Sex,8742
,Sex,9235
,Sex,18342
,Sex,13424
,Sex,4909
,Sex,8528
,Sex,10347
,Sex,4091
,Sex,10745
,Sex,10365
,Sex,14186
,Sex,7023
,Sex,9412
,Sex,6897
,Sex,4994
,Sex,14499
,Sex,9709
,Sex,6969
,Sex,11613
,Sex,14090
,Sex,6674
,Sex,9951
,Sex,10214
,Sex,14303
,Sex,10385
,Sex,9896
,Sex,11819
,Sex,15085
,Sex,6711
,Sex,6841
,Sex,12510
,Sex,8274
,Sex,20943
,Sex,12538
,Sex,16201
,Sex,9540
,Sex,5630
,Sex,21130
,Sex,14995
,Asex,10701
,Asex,10539
,Asex,8610
,Asex,9542
,Asex,5113
,Asex,11806
,Asex,12548
,Asex,9417
,Asex,9144
,Asex,24093
,Asex,9725
,Asex,8910
,Asex,6718
,Asex,8788
,Asex,7522
,Asex,11294
,Asex,7460
,Asex,13832
,Asex,13025
,Asex,9389
,Asex,7788
,Asex,13609
,Asex,12397
,Asex,12235
,Asex,10860
,Asex,12292
,Asex,9390
,Asex,18002
,Asex,8079
,Asex,7790
,Asex,5773
,Asex,7821
,Asex,12175
,Asex,8541
,Asex,14885
,Asex,8385
,Asex,21125
,Asex,7624
,Asex,8662
,Asex,7744
,Asex,9213
,Asex,11813
,Asex,13559
,Asex,7527
,Asex,12436
,Asex,10527
,Asex,13688
,Asex,7653
,Asex,11114
,Asex,18634
,Asex,9920
,Asex,18837
,Asex,22735
,Asex,8062
,Asex,6191
,Asex,6979
,Asex,14405
,Asex,10956
,Asex,10090
,Asex,13055
,Asex,6370
,Asex,9615
,Asex,8185
,Asex,14216
,Asex,10337
,Asex,9333
,Asex,10947
,Asex,9019
,Asex,11444
,Asex,9825
,Asex,13405
,Asex,13164
,Asex,10449
,Asex,9559
,Asex,8023
,Asex,6574
,Asex,6898
,Asex,11296
,Asex,6367
,Asex,9823
,Asex,21346
,Asex,8459
,Asex,12549
,Asex,16613
,Asex,19870
,Asex,12722
,Asex,16186
,Asex,13172
,Asex,10756
,Asex,12416
,Asex,9012
,Asex,7096
,Asex,14034
,Asex,11988
,Asex,8327
,Asex,10455
,Asex,10562
,Asex,11653
,Asex,9444
,Asex,7626
,Herm,17605
,Herm,24967
,Herm,5918
,Herm,12497
,Herm,4207
