ID,Mode,Generations
1,Asex_auto,101681
2,Asex_auto,75380
3,Asex_auto,95256
4,Asex_auto,121139
5,Asex_auto,58370
6,Asex_auto,66829
7,Asex_auto,183675
8,Asex_auto,59686
9,Asex_auto,115826
10,Asex_auto,80884
11,Asex_auto,151715
12,Asex_auto,209238
13,Asex_auto,96966
14,Asex_auto,142205
15,Asex_auto,89479
16,Asex_auto,128953
17,Asex_auto,154240
18,Asex_auto,97588
19,Asex_auto,96830
20,Asex_auto,61396
21,Asex_auto,111877
22,Asex_auto,93859
23,Asex_auto,91705
24,Asex_auto,84950
25,Asex_auto,68622
26,Asex_auto,100306
27,Asex_auto,44101
28,Asex_auto,186102
29,Asex_auto,151685
30,Asex_auto,187582
31,Asex_auto,110662
32,Asex_auto,91880
33,Asex_auto,221135
34,Asex_auto,71975
35,Asex_auto,42113
36,Asex_auto,88289
37,Asex_auto,75677
38,Asex_auto,157915
39,Asex_auto,49185
40,Asex_auto,131651
41,Asex_auto,120994
42,Asex_auto,84383
43,Asex_auto,51602
44,Asex_auto,108599
45,Asex_auto,54732
46,Asex_auto,118747
47,Asex_auto,72032
48,Asex_auto,52825
49,Asex_auto,57886
50,Asex_auto,85986
51,Asex_auto,177648
52,Asex_auto,78348
53,Asex_auto,92887
54,Asex_auto,143465
55,Asex_auto,96833
56,Asex_auto,74025
57,Asex_auto,172464
58,Asex_auto,111780
59,Asex_auto,68963
60,Asex_auto,81577
61,Asex_auto,59469
62,Asex_auto,108215
63,Asex_auto,118885
64,Asex_auto,109689
65,Asex_auto,108724
66,Asex_auto,111112
67,Asex_auto,121949
68,Asex_auto,90046
69,Asex_auto,53766
70,Asex_auto,91829
71,Asex_auto,65303
72,Asex_auto,97802
73,Asex_auto,99581
74,Asex_auto,113907
75,Asex_auto,80976
76,Asex_auto,45911
77,Asex_auto,68215
78,Asex_auto,61823
79,Asex_auto,115587
80,Asex_auto,83222
81,Asex_auto,126770
82,Asex_auto,123494
